Type of Entity,Category,Entity Name,Nickname,Location,Website,Number of Employees,Key People,Twitter Handle,Number of Twitter Followers,Affiliations,Related To,Collaboration,Funding Received,Year Funding Received,Investment Received,Year Investment Received,Revenue and Expenses (Budget),Year of Revenue and Expenses (Budget),Funding Given,Year of Funding Given,Global or Local Relevance
Government,Data and Transparency,Open Government Partnership,OGP,null,http://www.opengovpartnership.org,36,"Dr. IR. Kuntoro Mangkusubroto, Alejandra Lagunes, Rakesh Rajani, Suneeta Kaimal",@opengovpart,17434,null,null,The Governance Lab at NYU,Ford Foundation:600000; Hewlett Foundation:840000; Omidyar Network:1000000; Open Society Foundation:800000; Hewlett Foundation:400000; Omidyar Network:400000; Government of Indonesia:200000; Government of Norway:300000; Government of the Philippines:100000; Government of South Africa:100000; Government of the United Kingdom:103000; Government of the United Kingdom:225000; Government of the United Kingdom:452832; Government of Norway:213000; Government of Brazil:169000; Government of South Africa:150000; Government of the Philippines:100000; Government of Mexico:100000; Government of Tanzania:25000; Government of the United States:200000; Government of Norway:187000; Government of Mexico:100000; Government of the United Kingdom:100000; Government of the Philippines:50000,"2012, 2013, 2014",null,null,Budget:2485716,2013,null,null,1
Non-Profit,Data and Transparency,OpenPlans,OpenPlans,"New York, NY; Philadelphia, PA",http://openplans.org,12,Mark Gorton,@OpenPlans,6485,null,null,Alliance for Biking and Walking; Cambridge Systematics; Columbia Daily Tribune; Living Cities; New York City Department of Transportation; Place Matters; Ride Connection; MAS NYC; Alta; City of Chicago; CTDOT; MTA; Metro; PPS; Sam Schwartz Engineering; Sonoran Institute; Baker; City of Philadelphia; Integrated Transport Planning; Nacto; Orton Family Foundation; Public Lab; Sound Transit; TreeKIT; The Boston Globe; City of West Hollywood; Nelson Nygaard; The Philadelphia Foundation; Purpose; Tri Met; State of Rhode Island,Google:null; John S. and James L. Knight Foundation:null; Rockefeller Foundation:null; the World Bank:null,null,null,null,null,null,null,null,1
Non-Profit,Data and Transparency,Ushahidi,Ushahidi,"Orlando, FL; Nairobi, Kenya",http://www.ushahidi.com,29,"Vidya Spandana, Juliana Rotich",@ushahidi,51101,null,null,The White House; Department of State,Google:null; John S. and James L. Knight Foundation: null; John D. and Catherine T. MacArthur Foundation:null; Ford Foundation:null; Open Society Foundation:null,2012,null,null,Revenue:858233; Expenses:189411,2012,null,null,1
For-Profit,Smart and Resilient Cities,Challenge Post,Challenge Post,"New York, NY",http://challengepost.com,null,Brandon Kessler,@ChallengePost,3470,null,null,The White House; New York City Economic Development Corporation,null,null,Coriolis Ventures:null; betaworks:null; Esther Dyson:null; Richmond Park Partners:null; Joshua Schachter:null; Jason Calacanis:null; Opus Capital:null; Scott Kurnit:null; Steve Wozniak:null; Rose Tech Ventures:null; Jason Calacanis:null; PKS Capital:null; Gerry Campbell:null; Andrew Rasiej:null; Total:4600000,"2009, 2011",null,null,null,null,1
For-Profit,Smart and Resilient Cities,Department of Better Technology,DoBT,"Atlanta, GA",http://www.dobt.co,2,"Clay Johnson, Adam Becker, Sid Burgess, Alex Payne",@dobtco,1109,null,null,The White House,null,null,null,null,null,null,null,null,1
Individual,General,Ron Bouganim,Ron Bouganim,"San Francisco, CA",http://codeforamerica.org/people/ron-bouganim/,null,null,@ronboug,784,Code for America; Govtech Fund,null,null,null,null,null,null,null,null,null,null,1
Individual,Smart and Resilient Cities,Rachel Haot,Rachel Haot,"New York, NY",http://rachelhaot.com/,null,null,@rachelhaot,52680,New York Government; New York City Government,null,null,null,null,null,null,null,null,null,null,0
Individual,General,Aneesh Chopra,Aneesh Chopra,"Washington, DC",null,null,null,@aneeshchopra,18210,The White House; Office of Science and Technology Policy,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Todd Park,Todd Park,"Washington, DC",null,null,null,@todd_park,25288,The White House; Office of Science and Technology Policy,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Mike Bracken,Mike Bracken,"London, UK",null,null,null,@MTBracken,9548,Government Digital Service,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Joi Ito,Joi Ito,"Cambridge, MA",http://joi.ito.com/,null,null,@Joi,95273,MIT Media Lab; Mozilla Foundation,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Ethan Zuckerman,Ethan Zuckerman,"Cambridge, MA",http://www.ethanzuckerman.com/blog/,null,null,@EthanZ,34896,MIT Media Lab; Berkman Center for Internet and Society; Global Voices; MIT Center for Civic Media; Matt Stempeck; Joi Ito,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Anne-Marie Slaughter,Anne-Marie Slaughter,"Washington, DC",null,null,null,@SlaughterAM,103742,New America Foundation; Department of State; Hillary Clinton; Personal Democracy Media,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Hollie Russon-Gilman,Hollie Russon-Gilman,"Washington, DC",null,null,null,@hrgilman,652,The White House; Google; Office of Science and Technology Policy; Harvard University; Harvard Kennedy School Ash Center for Democratic Governance and Innovation; New America Foundation; Open Government Initiative,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Matt Stempeck,Matt Stempeck,"New York, NY",http://mattstempeck.com,null,null,@mstem,4015,Microsoft; MIT Media Lab; MIT Center for Civic Media; Personal Democracy Media; Joi Ito; Ethan Zuckerman; Hollie Russon-Gilman; Laurenellen McCann; Micah Sifry; Nick Grossman; Baratunde Thurson,null,null,null,null,null,null,null,null,null,null,null
Individual,General,Laurenellen McCann,Laurenellen McCann,"Washington, DC",http://ellemccann.com/,null,null,@elle_mccann,2454,Sunlight Foundation; New America Foundation;,null,null,null,null,null,null,null,null,null,null,1
Individual,Smart and Resilient Cities,Peter Singer,Peter Singer,"Washington, DC",null,null,null,@peterwsinger,8807,New America Foundation; Brookings Institution,null,null,null,null,null,null,null,null,null,null,1
Individual,Data and Transparency,Michael Flowers,Michael Flowers,"New York, NY",null,null,null,null,null,Susan Crawford; CUSP; New York University,null,null,null,null,null,null,null,null,null,null,0
Individual,General,Beth Noveck,Beth Noveck,"New York, NY; Cambridge, MA",null,null,null,@bethnoveck,9671,The White House; Office of Science and Technology Policy; MIT Media Lab; Gov Lab; New York University; Open Government Initiative,null,null,null,null,null,null,null,null,null,null,1
Individual,Data and Transparency,danah boyd,danah boyd,"New York, NY",http://www.danah.org/,null,null,@zephporia,101855,Data and Society Research Institute; Microsoft Corporation;Berkman Center for Internet and Society; Ethan Zuckerman; Joi Ito; Anthony Townsend; Kate Crawford; Anil Dash; Catherine Bracy; Susan Crawford; Nick Grossman; Hilary Mason; Andrew McLaughlin; Baratunde Thurston,null,null,null,null,null,null,null,null,null,null,1
Individual,Data and Transparency,Anthony Townsend,Anthony Townsend,"New York, NY",null,null,null,@anthonymobile,3630,Data and Society Research Institute; danah boyd; Kate Crawford; Anil Dash; Catherine Bracy; Susan Crawford; Nick Grossman; Hilary Mason; Andrew McLaughlin; Baratunde Thurston; New York University; Bits and Atoms LLC; Institute for the Future,null,null,null,null,null,null,null,null,null,null,1
Individual,Smart and Resilient Cities,Jen Pahlka,Jen Pahlka,"Oakland, CA",null,null,null,@pahlkadot,17794,The White House; Office of Science and Technology Policy; Code for America; Tim O'Reilly; Presidential Innovation Fellows; Todd Park,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Tim O'Reilly,Tim O'Reilly,"Sebastopol, CA",null,null,null,@timoreilly,1785513,O'Reilly Media; Code for America; Jen Pahlka,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Tim Berners-Lee,Tim Berners-Lee,"Boston, MA",null,null,null,@timberners_lee,177125,World Wide Web Consortium; MIT; Ford Foundation,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Micah Sifry,Micah Sifry,"New York, NY",http://micah.sifry.com/,null,null,@Mlsif,12889,Andrew Rasiej- Personal Democracy Media; Data and Society Research Institute; Sunlight Foundation; Anthony Townsend; Kate Crawford; Anil Dash; Catherine Bracy; Susan Crawford; Nick Grossman; Hilary Mason; Andrew McLaughlin; Baratunde Thurston,null,null,null,null,null,null,null,null,null,null,0
Individual,General,Andrew Rasiej,Andrew Rasiej,"New York, NY",http://rasiej.com/,null,null,@Rasiej,9549,Micah Sifry; danah boyd; Anthony Townsend; Kate Crawford; Anil Dash; Catherine Bracy; Susan Crawford; Nick Grossman; Hilary Mason; Andrew McLaughlin; Baratunde Thurston; Data and Society Research Institute; Personal Democracy Media; New York Tech Meetup; Jessica Lawrence; Girls Who Code; Reshma Saujani,null,null,null,null,null,null,null,null,null,null,0
Individual,Data and Transparency,Anil Dash,Anil Dash,"New York, NY",http://dashes.com/anil/,null,null,@anildash,502225,Data and Society Research Institute; Anthony Townsend; Micah Sifry; Andrew Rasiej; danah boyd; Catherine Bracy; Susan Crawford; Nick Grossman; Hilary Mason; Andrew McLaughlin; Baratunde Thurston; ThinkUp; Activate,null,null,null,null,null,null,null,null,null,null,1
Individual,Smart and Resilient Cities,Susan Crawford,Susan Crawford,"New York, NY; Cambridge, MA",null,null,null,@scrawford,14063,Matt Stempeck; Data and Society Research Institute; danah boyd; Berkman Center for Internet and Society; Stephen Goldsmith; Andrew Rasiej; Micah Sifry; Anthony Townsend; Kate Crawford; Anil Dash; Catherine Bracy; Susan Crawford; Nick Grossman; Hilary Mason; Andrew McLaughlin; Baratunde Thurston,null,null,null,null,null,null,null,null,null,null,1
Individual,Data and Transparency,Nick Grossman,Nick Grossman,"Boston, MA; New York, NY",null,null,null,@nickgrossman,4450,MIT Media Lab; Data and Society Research Institute; Berkman Center for Internet and Society; Union Square Ventures; Anthony Townsend; Kate Crawford; Anil Dash; Catherine Bracy; Susan Crawford; Hilary Mason; Andrew McLaughlin; Baratunde; Thurston; Micah Sifry; Andrew Rasiej; danah boyd;,null,null,null,null,null,null,null,null,null,null,0
Individual,Data and Transparency,Hilary Mason,Hilary Mason,"New York, NY",http://www.hilarymason.com/,null,null,@hmason,46407,Data and Society Research Institute; danah boyd; Anthony Townsend; Kate Crawford; Anil Dash; Catherine Bracy; Susan Crawford; Nick Grossman; Hilary Mason; Andrew McLaughlin; Baratunde Thurston; Micah Sifry; Andrew Rasiej; Fast Forward Labs; Accel Partners,null,null,null,null,null,null,null,null,null,null,1
Individual,Data and Transparency,Andrew McLaughlin,Andrew McLaughlin,"New York, NY",http://andrewmclaughlin.info/,null,null,@McAndrew,14608,Berkman Center for Internet and Society; danah boyd; Data and Society Research Institute; Anthony Townsend; Kate Crawford; Anil Dash; Catherine Bracy; Susan Crawford; Nick Grossman; Hilary Mason; Andrew McLaughlin; Baratunde Thurston; Andrew Rasiej; Micah Sifry,null,null,null,null,null,null,null,null,null,null,1
Individual,Data and Transparency,Baratunde Thurston,Baratunde Thurston,"Brooklyn, NY",http://baratunde.com/,null,null,@baratunde,155161,The Onion; Data and Society Research Institute; Cultivated Wit; danah boyd; Anthony Townsend; Kate Crawford; Anil Dash; Catherine Bracy; Susan Crawford; Nick Grossman; Hilary Mason; Andrew McLaughlin; Baratunde Thurston; Andrew Rasiej; Micah Sifry,null,null,null,null,null,null,null,null,null,null,1
Individual,21st Century Jobs and Opportunities,Jessica Lawrence,Jessica Lawrence,"New York, NY",http://jessicahlawrence.com/,null,null,@jessicalawrence,7419,New York Tech Meetup; Andrew Rasiej; Girls Who Code; Reshma Saujani,null,null,null,null,null,null,null,null,null,null,0
Individual,Smart and Resilient Cities,Ian Kalin,Ian Kalin,"San Francisco, CA",null,null,null,@IanJKalin,833,Presidential Innovation Fellows; Socrata,null,null,null,null,null,null,null,null,null,null,1
Individual,Data and Transparency,Ellen Miller,Ellen Miller,"Washington, DC",null,null,null,@EllnMllr,12133,Sunlight Foundation; Center for Responsive Politics; Public Campaign; Awesome Foundation; Publish what you Fund; Michael Klein,null,null,null,null,null,null,null,null,null,null,0
Individual,21st Century Jobs and Opportunities,Peter Thiel,Peter Thiel,"San Francisco, CA",null,null,null,null,null,Palantir; Alexander Karp; Joe Londsdale,null,null,null,null,null,null,null,null,null,null,1
Individual,Smart and Resilient Cities,Jeremy Bird,Jeremy Bird,"Chicago, IL",null,null,null,@jeremybird,27772,270 Strategies; Obama for America; Battleground Texas,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Mitchell Kapor,Mitchell Kapor,"Oakland, CA",null,null,null,@mkapor,95455,Fraeda Kapor Klein; Lotus; Electronic Frontier Foundation; Mozilla; Kapor Center for Social Impact,null,null,null,null,null,null,null,null,null,null,1
Individual,21st Century Jobs and Opportunities,Fraeda Kapor Klein,Fraeda Kapor Klein,"Oakland, CA",null,null,null,null,null,Mitchell Kapor; Level Playing Field Institute,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Steve Case,Steve Case,"Washington, DC",null,null,null,@SteveCase,667394,AOL,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Jared Cohen,Jared Cohen,"New York, NY",null,null,null,@jaredcohen,290690,Eric Schmidt; Hillary Clinton; Alec Ross; Department of State; Google; Google Ideas; Council on Foreign Relations,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Eric Schmidt,Eric Schmidt,"Mountain View, CA",null,null,null,@ericschmidt,846113,New America Foundation; Google; Jared Cohen; Anne-Marie Slaughter,null,null,null,null,null,null,null,null,null,null,1
Individual,General,Alex Howard,Alex Howard,"Washington, DC",null,null,null,@digiphile,210608,Tech Republic; Tow Center; Harvard University; O'Reilly Media; Tim O'Reilly,null,null,null,null,null,null,null,null,null,null,1
Individual,21st Century Jobs and Opportunities,Eric Ries,Eric Ries,"San Francisco, CA",http://www.startuplessonslearned.com/,null,null,@ericries,178646,IMVU; Steve Blank,null,null,null,null,null,null,null,null,null,null,1
Individual,Smart and Resilient Cities,Mike Flowers,Mike Flowers,"New York, NY",null,null,null,null,null,Susan Crawford; New York City Government,null,null,null,null,null,null,null,null,null,null,0
Non-Profit,General,MIT Center for Civic Media,MIT Ctr for Civic Media,"Cambridge, MA",http://civic.mit.edu,null,null,@civicmit,9213,null,"MIT Media Lab, MIT",The Boston Globe,John S. and James L. Knight Foundation:null,null,null,null,null,null,null,null,1
Individual,General,Nancy Lublin,Nancy Lublin,"New York, NY",null,null,null,@nancylublin,10463,DoSomething.org,null,null,null,null,null,null,null,null,null,null,0
For-Profit,21st Century Jobs and Opportunities,Betaworks Studio,Betaworks,"New York, NY",http://betaworks.com/,19,"John Borthwick, Billy CHasen, Andrew Weissman, Joshua Auerbach, Janet Balis",@betaworks,14346,null,null,null,null,null,Venture51:null; DFJ Growth:null; Digital Garage:null; Lerer Ventures:null; RRE Ventures:null; Total:20000000,2013,null,null,"Yo, Quibb, Giphy, Electric Objects, Bloglovin, Medium, Mindie, Context app, estimote, makr, Urx, Socratic, Apportable, SocialFlow, Grand St., Koa.la, Namo Media, Svbtle, TOTEMS, Picturelife, Pickie, RebelMouse, Summly, Seesaw, CollabFinder, LayerVault, Bondsy, Bloglovin, CasaHop, Moped, Frontback, Couple, Branch, Highlight, IFTTT, Editorially, Fancy Hands, Clipboard, Piictu, Genius, ShowMe, ChallengePost, just.me, Lascaux Co., Memoir, Embedly, Livestar, OnSwipe, Punch!, Extension Entertainment, SocialFlow, Everlane, Bloom Studio, Kickstarter, Findery, OnSwipe, OMGPOP, GroupMe",null,0
For-Profit,General,Control Group,Control Group,"New York, NY",http://www.controlgroup.com/,40,"Campbell Hyers, Colin O'Donnell, Scott Anderson, Toby Boudreaux, Michael O'Neil, Rich Hofbauer, Amanda O'Donnell",@controlgroup,1168,null,null,New York City Mayor's Office; O'Reilly Media; CitiBike; NYC MTA,null,null,null,null,null,null,null,null,0
For-Profit,21st Century Jobs and Opportunities,Codecademy,Codecademy,"New York, NY",http://www.codecademy.com/,21,"Zach Sims, Ryan Bubinski, Douglas Rushkoff", @Codecademy,163815,null,null,null,null,null,Collaborative Fund:null; Founder Collective:null; Kleiner Perkins Caufield Byers:null; O'Reilly Media:null; SV Angel:null; Thrive Capital:null; Union Square Ventures:null; Index Ventures:null,null,null,null,null,null,1
Non-Profit,General,Columbia University in the City of New York,Columbia Univ,"New York, NY",http://www.columbia.edu/,3763,Lee Bollinger,@Columbia,73648,null,Columbia Maker Space,null,null,null,null,null,Revenue:3685903; Expenses:3460017,2013,null,null,0
Non-Profit,General,New York University,NYU,"New York, NY",http://www.nyu.edu/,2014,"John Sexton, Dan O'Sullivan, Clay Shirky, Mayor's Office of Data Analytics",@nyuniversity,25109,null,"NYU Interactive Telecommunications Program, The Governance Lab at NYU, NYU Information Law Institute",null,null,null,null,null,6544000000,2014,null,null,0
Non-Profit,21st Century Jobs and Opportunities,Level Playing Field Institute,LPFI,"Oakland, CA",http://www.lpfi.org/,21,Jarvis Sulcer,@LPFI,1826,null,null,null,null,null,null,null,null,null,null,null,1
For-Profit,21st Century Jobs and Opportunities,GoldieBlox,GoldieBlox,"San Francisco, CA",http://www.goldieblox.com,null,Debbie Sterling,@goldieblox,16890,null,null,null,null,null,null,null,null,null,null,null,1
Non-Profit,21st Century Jobs and Opportunities,Girls Who Code,Girls Who Code,"New York, NY",http://girlswhocode.com,12,"Reshma Saujani, Kristen Titus",@GirlsWhoCode,38933,null,null,Twitter; Square; Google; Goldman Sachs; Ebay; General Electric; Adope; Facebook; Amazon.com; Intuit; John S. and James L. Knight Foundation; Intel; Microsoft; Appnexus; AT&T; Verizon; NYSE Euronext; News Corp; Silicon Valley Bank; Raptor Capital Management; Gild; Qualcomm,John S. and James L. Knight Foundation:null; Goldman Sachs:null; Ebay:null; SAP:null; General Electric:null; Google:null; Sequoia Capital:null; Capital One Bank:null; Twitter:null; Intel:null; Craigslist Foundation:null; DEShaw & Co:null; AT&T:null; Palantir:null; The Thiel Foundation:null; Total:1002394,2012,null,null,Revenue:1052054; Expenses:124792,2012,null,null,1
For-Profit,21st Century Jobs and Opportunities,General Assembly,General Assembly,"New York, NY",https://generalassemb.ly,9,"Adam Pritzker, Matthew Brimer, Brad Hargreaves, and Jake Schwartz",@GA,63966,null,null,null,Google:null; Microsoft Corporation:null; Nas:null; Hirepurpose:null,null,QueensBridge Venture Partners:null; Rethink Education:null; Maveron:null; Institutional Venture Partenrs:null; Western Technology Investment:null; GSV Capital:null; Total:35000000,2014,null,null,null,null,1
For-Profit,21st Century Jobs and Opportunities,Thrive Capital,Thrive Cap,"New York, NY",http://www.thrivecap.com,null,"Joshua Kushner, Jared Weinstein, Will Gaybrick, Chris Paik",@ThriveCapital,608,null,null,null,null,null,null,null,null,null,Urban Compass:null; Spring:null; Jibe:null; Whisper:null; OpenGov:null; Oscar Insurance:null; Artsy:null; Spree Commerce:null; Tictail:null; Harry's:null; Warby Parker:null; Instagram:null; Codecademy:null,null,0
Government,General,New York State Governer's Office,NY State,"New York, NY",http://www.ny.gov/,null,"Andrew Cuomo, Rachel Haot",@NYGovCuomo,122233,null,null,null,null,null,null,null,"90,000,000,000",2015,null,null,0
For-Profit,Data and Transparency,POPVOX,POPVOX,"San Francisco, CA",http://popvox.com,7,"Marci Harris, Rachna Choudhry, Tim O'Reilly",@POPVOX,6154,null,null,null,null,null,Tim O'Reilly:null; Shalini Choudhry:null; Barney Aldridge:null; Vas Choudhry:null; Jeremy Lizt:null; Jimmy Harris,null,null,null,null,null,1
Non-Profit,General,Bloomberg Philanthropies,Bloomberg Philanthropies,"New York, NY",http://www.bloomberg.org/,null,"Michael Bloomberg, John Mack",@bloombergdotorg,32519,null,Government Innovation,Cities of Service; Bill and Melinda Gates Foundation; Living Cities; Open Society Foundations; World Health Organization; Aspen Institute; The Atlantic,null,null,null,null,null,null,Total:452000000,2013,1
Non-Profit,General,Open Society Foundations,Open Society Fdns,"New York, NY",http://www.opensocietyfoundations.org/,null,"George Soros, Christopher Stone",@opensociety,88852,null,null,null,null,null,null,null,null,null,Total:873344000,2013,1
For-Profit,Smart and Resilient Cities,New Amsterdam Ideas,NUAMS,"New York, NY",http://www.nuams.com/,13,Andrew Hoppin,@nuams,1010,null,null,New York Tech Meetup; Microsoft Corporation; Personal Democracy Media; Code for America; The White House; Open Government Partnership; New York City Mayor's Office; New York State Government,null,null,null,null,null,null,null,null,1
Government,Data and Transparency,UK Government Digital Service,UK GDS,"London, UK",https://www.gov.uk/government/organisations/government-digital-service,null,Mike Bracken,@gdsteam,37031,null,null,null,null,null,null,null,2853858,2012,null,null,1
Individual,21st Century Jobs and Opportunities,Kristen Titus,Kristen Titus,"New York, NY",null,null,null,@kristentitus,2931,Girls Who Code; Jumo,null,null,null,null,null,null,null,null,null,null,0
Individual,General,Clay Shirky,Clay Shirky,"Shanghai, China; New York, NY",http://www.shirky.com,null,null,@cshirky,311053,NYU Interactive Telecommunications Program; Berkman Center for Internet and Society;Personal Democracy Media,null,null,null,null,null,null,null,null,null,null,1
Non-Profit,21st Century Jobs and Opportunities,World Business Chicago,World Business Chicago,"Chicago, IL",www.worldbusinesschicago.com,32,"Jeff Malehorn, Carolyn Phillips, John Ramirez, Philip Nevels, Rahm Emanuel",@worldbizchicago,5639,null,Chicago Mayor's Office,Chicago Mayor's Office; Chicago Department of Business Affairs and Consumer Protection; Department of Commerce and Economic Opportunity; Chicago Sister Cities International,null,null,null,null,Revenue:22634995; Expenses:25182263,2012,Chicago Career Tech Skills for Chicagoland's Future:1546231,2012,0
Non-Profit,21st Century Jobs and Opportunities,Chicago Innovation Exchange,Chicago Innovation Exchange,"Chicago, IL",https://cie.uchicago.edu/,null,"John Flavin, Jason Pariso, Kristin Barret, Tom Ancona, Nikki Kidd, Wendy Jones, Wolfgan Connell",@ChicagoCIE,663,null,University of Chicago,Polsky Center for Entrepreneurship and Innovation; UChicagoTech; Argonne National Laboratory; Booth School of Business; UChicago Office of Civic Engagement; University of Chicago College; The Computation Institute; UChicago Division of Biological Sciences; UChicago Division of the Physical Sciences; Fermi National Accelerator Laboratory; Institute of Molecular Engineering; UChicago Institute of Politics; Institute for Translational Medicine; Marine Biological Laboratory; University of Chicago Medicine; University of Chicago Law School; Urban Education Institute,Cisco Entrepreneurs in Residence:null,null,null,null,null,null,"Reflexion Pharmaceuticals:75000; Ice Slurry Refrigerant:100000; Nano-Filter Desalination:65000; PhysIQ:75000; Text Filters:55000; AgileMD:50000; Interferon-Related DNA Damage Resistance Signature (IRDS):50000; TAT-MLL:50000; Anti-ADAM10 Monoclonal Antibody for Treating Skin and Lung Infections:50000; Anti-Protein A Monoclonal Antibody for the Prevention of Straphylococcal Bacteremia:50000; Compounds for the Potentiations of Antibiotic Sensitivity in MRSA:100000; IGF-1 for the Treatment of Recurrent Migraine:100000; Companion Diagnostic for Incretin-Based Therapies:100000; Senescent Cell Cancer Vaccine:60000; System for Clinical Trial Protocol Generation and Management:40000; Antibody-Targeted LIGHT for the Treatment of Primary Tumors and Metastatic Disease in Cancer:100000; Nanocyrstal ""Glue"" for High-Efficiency Thermoelectric Materials:100000; Small Molecule Inhibitors of Copper Chaperones for the Treatment of Cancer:80000; Testing New Venues for Pritzker Course Content Transformation, Distribution, and Commercialization:20000; Ci3's Game Changer Chicago (GCC) Design Lab:50000; ExplORer Surgical Information System:64300; Genomic Prescribing System (GPS):100000; Nanoscale Coordination Polymers (NCP) for Platinum-Resistant Ovarian Cancer:100000; Companion Diagnostic for Treatment of Estrogen Receptor Negative Breast Cancer:55000; Easy-to-Use High-Fidelity Hydrodynamic Simulation Software Package for Development of New Light-Source Technologies:50000; Quantitative Insights Inc:150000; Simplified Chromatin Conformation Capture:70000",2014,0
Non-Profit,21st Century Jobs and Opportunities,1871,1871,"Chicago, IL",http://1871.com,null,"George Vukotich, Melissa Wooten, Laura Fendrich, Rhonda Fair, Sara Clay, Diana Lopez-Obaldo, Laura Clark, Deena Siegal, Howard Tullman, Tom Alexander, Kristi Dula, Josie Pike, Abbie Torgeson, Jasmine Slivka",@1871Chicago,22570,null,"Chicagoland Entrepreneurial Center, Urban Center for Computation and Data",University of Illinois Urbana-Champagne; Chicago; Springfield; Origin Venture; Booth School of Business; Starter League; Tech Stars; Sandbox Industries; Northwestern University; Pritzker Group:Venture Capital; The Impact Engine; Illinois Science and Technology Coalition; Illinois Institute of Technology; Chicago Ventures; Urban Center for Computation and Data,CDW:null; Chase Bank:null; Cisco Systems Inc:null; Comcast:null; DCEO:null; Ernst & Young:null; State of Illinois:null; Motorola Mobility Foundation:null; Netrix LLC:null; Google:null; The Brinson Foundation:null; Katten Muchin Rosenman LLP:null; KPMG:null; Microsoft:null; World Business Chicago:null; DeVry:null; Illinois Math and Science Academy:null; Lightbank:null; OCA Ventures:null; Regus:null; Studley:null; TriNet:null; Crain's:null; Sure Payroll:null; Chicago Innovation Awards:null,2014,null,null,Revenue:3886501; Expenses:1851281,null,null,null,0
Non-Profit,21st Century Jobs and Opportunities,Blue 1647,Blue 1647,"Chicago, IL",http://www.blue1647.com/,null,"Emile Cambry Jr., Antonio Rowry, Jerome Dishman, Ray Lambert, George Geiger, Jonathan Paul Cambry",@BLUE1647,800,null,null,Chicago Mayor's Office,21st Century Youth Project:null; Chicago International Social Change Film Festival:null; Code Chicago:null; Chicago Inventors Organization:null; United NFC:null; Left for Good:null; SponsorChange:null; MEDTOON:null; Reel Illinois:null; YuuConnect:null; Impakt Studio:null; Inclusive Community Project:null; American Chamber Opera Company:null; Politica Aberta:null; Project Exploration:null; Foodhe.ro:null; iMagine It Tech:null; Fluidity Community and Political Consulting:null; Chase Charles Studio:null; Benefit Management Associates:null; The Michael Logic Administration:null; Rigo Ramirez:null; Chicago Comedy Film Festival:null; Hands on Training:null; Dreamz and Visionz:null; Lake Street Barbering Co.:null; Expo Collective:null; Ms Tech:null; Baby Truths:null; Rivive Group:null; PyroPhase:null; Lightning Smart:null; Open Source Temple:null; Parent Power Chicago:null; Urban Leash:null,null,null,null,null,null,null,null,0
Non-Profit,Data and Transparency,Data Science for Social Good,Data Science for Social Good,"Chicago, IL",http://dssg.io/,null,"Rayid Ghani, Matt Gee, Tom Plagge, Andrew Means, Kate Kusiak Galvin, Rob Mitchum, Eric Schmidt, Ian Foster, Charlie Catlett",@datascifellows,2645,null,University of Chicago,Microsoft Corporation; Google,Eric Schmidt: null,null,null,null,null,null,null,null,1
Non-Profit,Data and Transparency,Urban Center for Computation and Data,Urban Ctr for Computation and Data,"Chicago, IL",http://urbanccd.org,null,"Charlie Catlett, Rayid Ghani, Ian Foster, Brett Goldstein, Kathleen Cagney, Stay Lindau, Robert M. Goerge, Robert Rosner, Keith Besserud, Jim Sallee, James Evans, Mario Luis Smal, Doug Pancoast, Svetlozar Nestorov, Doug Voigt, Bo Rodda, Matt Gee",@UrbanCCD,445,null,University of Chicago,National Science Foundation; Skidmore; Owings; & Merrill; School of the Art Institute of Chicago; Chapin Hill; South Side Health and Vitality Studies; Population Research Center; UChicago Research Computing Center; Energy Policy Institute at Chicago; John D. and Catherine T. MacArthur Foundation; City of Chicago; Computation Institute; Argonne National Laboratory; 1871,null,null,null,null,null,null,null,null,0
Non-Profit,Smart and Resilient Cities,UI LABS,UI LABS,"Chicago, IL",http://www.uilabs.org/,null,null,@UILABS_,894,null,null,Digital Manufacturing and Design Innovative Institute; University of Illinois,Department of Defense:70000000; null:250000000,2014,null,null,null,null,null,null,0
Non-Profit,Smart and Resilient Cities,Local Initiatives Support Corporation,LISC,"Chicago, IL",http://lisc.org,null,"Susana Vasquez, Jake Ament, Dionne Baux, Barbara Beck, Keri Blackwell, Monita Blunt, Chris Brown, Julia Chillers, Caroline Goldstein, Ricki Granetz Lowitz, Maria Hernandez, Clarence Hogan, Jennifer McClain, Taryn Roch, Alba Santillan, Dominique Williams ",@LISCChicago,1007,null,null,Neighborhood Lead Agencies; Centers for Working Families; Elev8 Schools,null,null,null,null,null,null,null:7230000,2013,0
